M1,M2,M3,M4,R,P,E,RP,RE,PE,Y
5.563,1.905,2.878,6.92,5,2,6,10,30,12,2192.64
5.542,2.557,2.507,8.04,1,3,6,3,6,18,2192.71
5.347,2.035,1.914,8.38,1,2,2,2,2,4,2192.78
5.221,2.455,2.13,6.92,4,6,6,24,24,36,2193.21
5.563,1.905,2.878,6.92,5,2,6,10,30,12,2193.49
5.665,1.837,3.107,8.91,1,2,1,2,1,2,2194.18
5.384,1.905,2.554,6.72,1,5,6,5,6,30,2194.48
5.185,3.309,2.688,9.88,3,6,5,18,15,30,2195.12
5.202,2.62,1.66,7.82,1,4,5,4,5,20,2196.08
5.347,2.035,1.914,8.38,1,2,2,2,2,4,2196.13
5.384,3.077,3.297,3.18,3,1,7,3,21,7,2196.2
5.311,2.284,2.214,6.62,3,2,5,6,15,10,2196.68
5.413,1.985,3.706,3.21,1,6,6,6,6,36,2197.13
5.311,2.284,2.214,6.62,3,2,5,6,15,10,2197.52
5.665,1.837,3.107,8.91,1,2,1,2,1,2,2198
5.367,1.642,2.947,6.69,2,2,6,4,12,12,2198.38
5.249,3.069,2.499,3.82,2,2,5,4,10,10,2199.45
5.345,2.283,2.214,4.44,3,2,5,6,15,10,2199.54
5.418,2.933,1.801,5.38,4,5,6,20,24,30,2199.62
5.427,3.403,2.186,7.95,3,5,7,15,21,35,2199.84
5.132,2.624,1.654,6.77,1,4,7,4,7,28,2200.73
5.19,2.848,2.767,4.31,1,3,7,3,7,21,2201.6
5.475,2.535,2.53,8.62,3,2,5,6,15,10,2202.54
5.402,2.321,2.993,8.24,3,4,7,12,21,28,2202.67
5.29,2.62,1.981,4.12,1,2,2,2,2,4,2202.72
5.29,2.62,1.981,4.12,1,2,2,2,2,4,2203.08
5.427,3.403,2.186,7.95,3,5,7,15,21,35,2203.57
5.19,2.848,2.767,4.31,1,3,7,3,7,21,2203.73
5.384,3.077,3.297,3.18,3,1,7,3,21,7,2203.99
5.132,2.624,1.654,6.77,1,4,7,4,7,28,2204.69
5.249,1.971,2.029,7.49,1,3,6,3,6,18,2204.91
5.249,3.069,2.499,3.82,2,2,5,4,10,10,2205.03
5.211,2.9,2.477,4.6,4,2,5,8,20,10,2205.92
5.413,1.985,3.706,3.21,1,6,6,6,6,36,2206.06
5.113,3.309,2.689,7.04,3,6,2,18,6,12,2206.64
5.464,1.826,2.769,7.4,5,2,6,10,30,12,2207.24
5.402,2.321,2.993,8.24,3,4,7,12,21,28,2207.75
5.145,2.902,2.482,4.58,4,2,5,8,20,10,2208.03
5.475,2.535,2.53,8.62,3,2,5,6,15,10,2208.79
5.506,2.554,2.512,4.33,1,3,6,3,6,18,2208.84
5.188,1.5,2.33,4.91,4,2,6,8,24,12,2209.16
5.506,2.554,2.512,4.33,1,3,6,3,6,18,2209.79
5.246,2.101,2.196,6.12,3,6,7,18,21,42,2210.42
5.198,1.947,1.961,7.77,1,5,6,5,6,30,2211.02
5.465,2.732,2.472,7.51,5,3,6,15,30,18,2211.32
5.198,1.947,1.961,7.77,1,5,6,5,6,30,2211.58
5.335,3.032,3.335,3.7,3,6,5,18,15,30,2211.67
5.468,1.968,1.931,9.62,1,4,6,4,6,24,2211.83
5.331,2.107,2.577,8.9,3,6,6,18,18,36,2212.2
5.335,3.032,3.335,3.7,3,6,5,18,15,30,2212.26
5.363,2.15,2.656,7.21,3,2,5,6,15,10,2212.47
5.363,2.15,2.656,7.21,3,2,5,6,15,10,2212.62
5.36,2.616,1.993,6.27,1,2,3,2,3,6,2213.23
5.465,2.732,2.472,7.51,5,3,6,15,30,18,2214.36
5.468,1.968,1.931,9.62,1,4,6,4,6,24,2214.93
5.364,1.829,2.766,7.9,5,2,6,10,30,12,2215.06
5.188,1.5,2.33,4.91,4,2,6,8,24,12,2215.52
5.318,2.618,1.984,4.96,1,2,2,2,2,4,2216.38
5.196,3.325,1.833,5.43,3,3,5,9,15,15,2216.4
5.28,2.561,1.959,9.18,4,7,6,28,24,42,2216.54
5.404,3.036,3.332,7.21,3,6,7,18,21,42,2216.54
5.156,2.534,2.083,9.06,1,7,5,7,5,35,2217.66
5.258,3.326,1.832,3.67,3,3,5,9,15,15,2217.72
5.17,2.452,2.129,4.83,4,6,6,24,24,36,2217.82
5.289,3.327,1.828,4.66,3,3,5,9,15,15,2218.41
5.28,2.561,1.959,9.18,4,7,6,28,24,42,2218.95
5.362,2.931,1.803,8.47,4,5,6,20,24,30,2219.07
5.258,3.326,1.832,3.67,3,3,5,9,15,15,2219.39
5.362,2.931,1.803,8.47,4,5,6,20,24,30,2219.54
5.404,3.036,3.332,7.21,3,6,7,18,21,42,2219.86
5.281,2.438,2.529,5.34,4,2,7,8,28,14,2220
5.221,1.499,2.333,4.7,4,2,6,8,24,12,2220.16
5.344,3.131,2.817,3.26,4,2,7,8,28,14,2221.1
5.231,2.684,1.958,4.97,2,7,6,14,12,42,2221.12
5.395,3.407,2.193,9.55,3,5,5,15,15,25,2221.89
5.292,2.438,2.527,6.39,4,2,7,8,28,14,2222.04
5.199,2.85,2.764,7.69,1,3,7,3,7,21,2222.43
5.285,2.256,1.917,8.36,1,1,6,1,6,6,2222.64
5.128,2.515,2.097,7.87,2,7,6,14,12,42,2222.78
5.17,2.452,2.129,4.83,4,6,6,24,24,36,2223.24
5.221,1.499,2.333,4.7,4,2,6,8,24,12,2223.44
5.199,2.85,2.764,7.69,1,3,7,3,7,21,2225.08
5.196,3.325,1.833,5.43,3,3,5,9,15,15,2225.32
5.349,2.599,2.622,4.22,1,2,4,2,4,8,2225.37
5.621,2.296,2.431,8.77,5,2,6,10,30,12,2225.78
5.349,2.599,2.622,4.22,1,2,4,2,4,8,2225.97
5.32,1.638,2.952,7.22,2,2,6,4,12,12,2226.04
5.477,3.143,2.917,7.68,1,4,6,4,6,24,2226.44
5.264,3.152,1.689,4.3,1,2,4,2,4,8,2226.6
5.231,2.684,1.958,4.97,2,7,6,14,12,42,2227
5.254,2.989,2.469,8.69,4,1,7,4,28,7,2228.91
5.294,3.322,1.837,6.47,3,3,5,9,15,15,2229.87
5.282,2.207,2.486,7.59,4,4,6,16,24,24,2230.34
5.181,3.07,2.491,4.08,2,2,7,4,14,14,2231.68
5.254,2.989,2.469,8.69,4,1,7,4,28,7,2232.09
5.294,3.322,1.837,6.47,3,3,5,9,15,15,2232.59
5.266,1.577,2.114,7.51,3,2,5,6,15,10,2233.03
5.282,2.207,2.486,7.59,4,4,6,16,24,24,2233.15
5.109,2.516,2.097,7.91,2,7,6,14,12,42,2233.66
5.32,1.638,2.952,7.22,2,2,6,4,12,12,2234.62
5.442,3.407,2.185,3.69,3,5,7,15,21,35,2235.12
5.477,3.143,2.917,7.68,1,4,6,4,6,24,2235.38
5.442,3.407,2.185,3.69,3,5,7,15,21,35,2235.52
5.402,2.602,2.615,8.2,1,2,1,2,1,2,2235.96
5.103,2.903,2.483,4.32,4,2,7,8,28,14,2236.54
5.463,3.051,2.727,8.85,3,1,7,3,21,7,2238.43
5.463,3.051,2.727,8.85,3,1,7,3,21,7,2238.73
5.266,1.577,2.114,7.51,3,2,5,6,15,10,2238.86
5.275,2.106,2.19,9.68,3,6,6,18,18,36,2239.4
5.406,2.208,2.771,7.63,2,2,6,4,12,12,2239.6
5.103,2.903,2.483,4.32,4,2,7,8,28,14,2239.76
5.293,3.503,1.991,3.7,2,2,7,4,14,14,2240.29
5.16,2.902,2.479,3.37,4,2,7,8,28,14,2240.35
5.109,2.516,2.097,7.91,2,7,6,14,12,42,2240.38
5.38,3.074,3.302,7.72,3,1,5,3,15,5,2240.74
5.092,2.529,2.084,3.26,1,7,6,7,6,42,2241.95
5.347,2.381,1.958,8.26,3,2,5,6,15,10,2242.42
5.406,2.208,2.771,7.63,2,2,6,4,12,12,2242.8
5.347,2.381,1.958,8.26,3,2,5,6,15,10,2243.52
5.38,3.074,3.302,7.72,3,1,5,3,15,5,2243.93
5.092,2.529,2.084,3.26,1,7,6,7,6,42,2244.1
5.254,2.724,2.069,4.55,3,5,6,15,18,30,2244.13
5.337,3.075,3.3,6.92,3,1,7,3,21,7,2244.26
5.385,2.378,1.965,5.46,3,2,7,6,21,14,2245.79
5.402,2.602,2.615,8.2,1,2,1,2,1,2,2246.59
5.357,3.501,1.989,3.41,2,2,5,4,10,10,2248.66
5.254,2.724,2.069,4.55,3,5,6,15,18,30,2248.78
5.357,3.501,1.989,3.41,2,2,5,4,10,10,2249.27
5.385,2.378,1.965,5.46,3,2,7,6,21,14,2249.82
5.238,2.898,3.101,3.89,1,5,6,5,6,30,2249.86
5.253,3.326,1.829,6.75,3,3,5,9,15,15,2250.39
5.406,2.368,2.582,4.28,3,6,6,18,18,36,2251.15
5.238,2.898,3.101,3.89,1,5,6,5,6,30,2251.45
5.269,2.677,2.239,8.08,2,5,6,10,12,30,2252.05
5.153,2.535,2.084,9.94,1,7,7,7,7,49,2253.02
5.406,2.368,2.582,4.28,3,6,6,18,18,36,2254.09
5.452,2.051,3.072,6.66,4,2,6,8,24,12,2255.67
5.297,3.151,1.688,3.86,1,2,1,2,1,2,2256.29
5.253,3.326,1.829,6.75,3,3,5,9,15,15,2257.22
5.668,1.843,3.108,3.1,1,2,7,2,7,14,2257.93
5.395,2.603,2.615,9.45,1,2,2,2,2,4,2258.52
5.312,3.504,1.986,5.58,2,2,7,4,14,14,2258.68
5.269,2.677,2.239,8.08,2,5,6,10,12,30,2260.8
5.452,2.051,3.072,6.66,4,2,6,8,24,12,2261.18
5.068,2.978,2.35,4.43,4,2,5,8,20,10,2263.44
5.175,2.62,1.657,9.51,1,4,6,4,6,24,2263.48
5.668,1.843,3.108,3.1,1,2,7,2,7,14,2263.77
5.446,2.603,2.621,5.19,1,2,4,2,4,8,2264.7
5.496,2.53,2.533,8.33,3,2,5,6,15,10,2266.64
5.312,3.504,1.986,5.58,2,2,7,4,14,14,2267.08
5.332,2.15,2.652,7.35,3,2,7,6,21,14,2267.22
5.231,2.895,3.095,6.08,1,5,7,5,7,35,2268.64
5.317,2.897,3.094,9.07,1,5,6,5,6,30,2269.2
