M1,M2,M3,M4,R,P,E,RP,RE,PE,Y
5.659,2.251,3.137,4.19,4,1,2,4,8,2,1859.12
5.626,1.377,2.294,8.51,1,4,3,4,3,12,1859.33
5.606,1.546,3.288,4.99,5,1,4,5,20,4,1859.5
5.593,1.352,1.852,3.27,1,6,3,6,3,18,1860.23
5.477,1.585,1.932,9.23,4,7,3,28,12,21,1861.21
5.496,2.095,3.049,9.03,4,4,3,16,12,12,1861.46
5.492,1.672,2.619,7.28,2,3,2,6,4,6,1861.64
5.63,1.876,2.781,3.84,5,6,1,30,5,6,1861.8
5.626,1.377,2.294,8.51,1,4,3,4,3,12,1862.97
5.446,1.611,2.319,3.43,1,5,3,5,3,15,1864.11
5.415,1.891,2.407,9.4,4,4,2,16,8,8,1864.15
5.462,2.021,2.603,3.87,4,5,2,20,8,10,1864.33
5.439,1.468,2.358,5.21,5,4,4,20,20,16,1864.48
5.597,1.436,2.799,3.84,5,1,1,5,5,1,1865.71
5.43,1.762,2.843,3.7,2,6,4,12,8,24,1865.71
5.469,1.484,2.777,5.51,4,3,1,12,4,3,1865.91
5.415,1.891,2.407,9.4,4,4,2,16,8,8,1866
5.496,2.095,3.049,9.03,4,4,3,16,12,12,1866.05
5.43,1.762,2.843,3.7,2,6,4,12,8,24,1866.93
5.446,1.611,2.319,3.43,1,5,3,5,3,15,1868.73
5.7,2.13,1.718,7.16,1,1,1,1,1,1,1869.86
5.676,1.375,2.293,7.85,1,4,4,4,4,16,1870.62
5.676,1.375,2.293,7.85,1,4,4,4,4,16,1872.74
5.568,1.688,3.583,5.91,2,4,4,8,8,16,1872.83
5.519,1.544,3.283,6.79,5,1,3,5,15,3,1873.92
5.609,2.083,2.135,4.35,4,6,3,24,12,18,1874.68
5.254,1.799,2.495,6.6,5,6,2,30,10,12,1874.69
5.7,2.13,1.718,7.16,1,1,1,1,1,1,1874.81
5.532,1.867,2.339,3.72,4,5,3,20,12,15,1875.22
5.426,1.826,2.797,3.24,4,3,3,12,12,9,1876.11
5.543,1.355,1.854,4.32,1,6,4,6,4,24,1876.69
5.532,1.867,2.339,3.72,4,5,3,20,12,15,1877.85
5.543,1.355,1.854,4.32,1,6,4,6,4,24,1879.14
5.511,1.445,3.234,7.29,2,1,1,2,2,1,1881.57
5.454,1.763,3.191,5.7,4,1,4,4,16,4,1881.88
5.525,1.633,2.083,8.93,2,1,4,2,8,4,1882.02
5.46,1.483,2.783,3.98,4,3,3,12,12,9,1882.4
5.426,1.826,2.797,3.24,4,3,3,12,12,9,1882.43
5.525,1.633,2.083,8.93,2,1,4,2,8,4,1882.84
5.398,2.27,2.36,9.22,4,1,3,4,12,3,1883.29
5.511,2.108,2.929,3.59,5,7,1,35,5,7,1883.42
5.254,1.799,2.495,6.6,5,6,2,30,10,12,1884.74
5.46,1.483,2.783,3.98,4,3,3,12,12,9,1886.04
5.393,1.758,2.229,8.89,4,1,2,4,8,2,1886.06
5.474,1.464,2.355,7.91,5,4,3,20,15,12,1886.39
5.423,1.584,1.926,5.47,4,7,2,28,8,14,1887.42
5.249,1.8,2.5,3.35,5,6,3,30,15,18,1887.48
5.423,1.584,1.926,5.47,4,7,2,28,8,14,1888.49
5.649,2.252,3.14,4.89,4,1,4,4,16,4,1888.74
5.564,1.432,2.799,5.54,5,1,4,5,20,4,1889.3
5.595,1.633,2.089,4.77,2,1,2,2,4,2,1889.59
5.249,1.8,2.5,3.35,5,6,3,30,15,18,1890.12
5.338,1.576,2.119,5.07,1,7,4,7,4,28,1890.65
5.511,2.108,2.929,3.59,5,7,1,35,5,7,1891.01
5.438,2.095,3.045,5.37,4,4,3,16,12,12,1891.02
5.509,2.321,2.379,6.5,2,4,1,8,2,4,1891.18
5.595,1.633,2.089,4.77,2,1,2,2,4,2,1891.34
5.649,2.252,3.14,4.89,4,1,4,4,16,4,1891.6
5.338,1.576,2.119,5.07,1,7,4,7,4,28,1891.93
5.528,1.63,2.083,4.8,2,1,4,2,8,4,1892.15
5.422,1.485,2.786,8.48,4,3,1,12,4,3,1892.53
5.693,1.903,3.339,4.37,4,1,4,4,16,4,1892.8
5.568,1.875,2.784,3.19,5,6,4,30,20,24,1892.87
5.422,1.485,2.786,8.48,4,3,1,12,4,3,1893.16
5.474,1.464,2.355,7.91,5,4,3,20,15,12,1893.39
5.393,1.758,2.229,8.89,4,1,2,4,8,2,1893.86
5.589,2.081,2.138,4.67,4,6,2,24,8,12,1893.94
5.528,1.63,2.083,4.8,2,1,4,2,8,4,1894.29
5.406,1.63,2.61,5.78,4,4,2,16,8,8,1894.66
5.428,1.467,2.364,6.3,5,4,3,20,15,12,1894.67
5.441,1.757,3.194,4.45,4,1,2,4,8,2,1894.92
5.603,2.248,3.138,6.45,4,1,4,4,16,4,1895.02
5.428,1.467,2.364,6.3,5,4,3,20,15,12,1895.13
5.474,2.167,2.41,4.39,5,5,2,25,10,10,1895.59
5.374,1.763,2.229,5.64,4,1,3,4,12,3,1895.88
5.519,1.33,2.354,4.1,1,4,3,4,3,12,1896.31
5.451,1.484,2.786,3.16,4,3,1,12,4,3,1896.48
5.568,1.875,2.784,3.19,5,6,4,30,20,24,1896.8
5.497,1.969,1.935,5.28,1,4,1,4,1,4,1897.67
5.374,1.763,2.229,5.64,4,1,3,4,12,3,1898.64
5.67,1.354,2.536,4.35,4,1,5,4,20,5,1898.82
5.406,1.63,2.61,5.78,4,4,2,16,8,8,1898.97
5.364,1.811,1.908,7.8,5,4,2,20,10,8,1898.98
5.438,2.095,3.045,5.37,4,4,3,16,12,12,1899.12
5.564,1.432,2.799,5.54,5,1,4,5,20,4,1899.49
5.519,1.33,2.354,4.1,1,4,3,4,3,12,1899.59
5.693,1.903,3.339,4.37,4,1,4,4,16,4,1899.61
5.444,1.755,2.232,3.83,4,1,3,4,12,3,1899.65
5.274,1.854,2.523,8.94,4,3,4,12,16,12,1899.89
5.328,1.858,2.52,3.92,4,3,1,12,4,3,1900.08
5.426,1.828,2.794,5.39,4,3,3,12,12,9,1900.09
5.355,1.817,1.904,3.05,5,4,3,20,15,12,1900.49
5.328,1.858,2.52,3.92,4,3,1,12,4,3,1900.83
5.491,1.763,3.192,7.8,4,1,1,4,4,1,1901.59
5.487,2.412,2.627,3.04,5,6,3,30,15,18,1902.09
5.612,2.082,2.138,3.16,4,6,3,24,12,18,1902.68
5.474,2.167,2.41,4.39,5,5,2,25,10,10,1902.81
5.444,1.755,2.232,3.83,4,1,3,4,12,3,1903.16
5.5,1.89,2.403,7.03,4,4,2,16,8,8,1903.41
5.491,1.763,3.192,7.8,4,1,1,4,4,1,1903.8
5.49,1.552,2.789,6.65,5,2,4,10,20,8,1904.29
5.467,1.758,2.229,7.29,4,1,3,4,12,3,1904.46
5.5,1.89,2.403,7.03,4,4,2,16,8,8,1904.83
5.497,1.969,1.935,5.28,1,4,1,4,1,4,1905.17
5.3,1.634,2.609,4.2,4,4,1,16,4,4,1906.24
5.604,2.246,3.141,7.73,4,1,2,4,8,2,1906.69
5.393,1.757,2.84,5.62,2,6,1,12,2,6,1907.1
5.472,1.69,3.568,7.86,2,4,3,8,6,12,1908.04
5.472,1.69,3.568,7.86,2,4,3,8,6,12,1908.23
5.371,1.863,2.559,5.05,5,6,2,30,10,12,1908.31
5.355,2.025,1.899,6.72,2,5,4,10,8,20,1909.1
5.384,1.913,3.166,6.09,2,3,4,6,8,12,1910.74
5.428,1.966,1.933,7.74,1,4,4,4,4,16,1910.83
5.393,1.757,2.84,5.62,2,6,1,12,2,6,1910.93
5.49,1.552,2.789,6.65,5,2,4,10,20,8,1911.69
5.467,1.758,2.229,7.29,4,1,3,4,12,3,1912.29
5.593,2.132,1.718,5.97,1,1,3,1,3,3,1912.68
5.495,2.468,2.018,4.59,1,6,4,6,4,24,1913.51
5.308,1.86,2.55,5.8,5,6,2,30,10,12,1913.62
5.384,1.913,3.166,6.09,2,3,4,6,8,12,1913.77
5.387,1.76,2.239,6.1,4,1,3,4,12,3,1914.02
5.652,1.347,2.539,7.45,4,1,5,4,20,5,1914.96
5.334,1.812,1.907,6.15,5,4,3,20,15,12,1914.99
5.638,1.375,2.29,9.02,1,4,4,4,4,16,1915.91
5.613,1.444,3.233,9.88,2,1,3,2,6,3,1916.5
5.565,1.445,3.237,3.72,2,1,4,2,8,4,1916.82
5.638,1.375,2.29,9.02,1,4,4,4,4,16,1917.38
5.356,2.064,2.8,9.26,5,6,2,30,10,12,1917.53
5.593,2.132,1.718,5.97,1,1,3,1,3,3,1917.57
5.451,1.891,2.409,5.3,4,4,1,16,4,4,1917.82
5.522,1.335,2.353,3.85,1,4,3,4,3,12,1918.03
5.583,2.248,3.131,9.83,4,1,4,4,16,4,1918.5
5.348,2.184,1.919,6.55,4,4,3,16,12,12,1918.55
5.308,1.86,2.55,5.8,5,6,2,30,10,12,1919.16
5.487,1.865,2.336,8.36,4,5,2,20,8,10,1919.44
5.49,2.165,2.406,4.16,5,5,1,25,5,5,1919.79
5.477,1.353,1.86,8.75,1,6,2,6,2,12,1920.07
5.449,1.763,3.187,5.37,4,1,3,4,12,3,1920.13
5.525,2.241,2.541,9.99,2,6,4,12,8,24,1920.14
5.46,2.025,2.61,7.04,4,5,3,20,12,15,1920.36
5.481,1.535,2.175,7.02,2,2,4,4,8,8,1920.69
5.399,2.065,2.797,5.89,5,6,3,30,15,18,1921.77
5.461,2.023,2.611,3.83,4,5,4,20,16,20,1921.99
5.32,2.319,2.519,3.86,2,1,2,2,4,2,1922.17
5.482,1.33,2.356,5.78,1,4,3,4,3,12,1922.69
5.583,2.248,3.131,9.83,4,1,4,4,16,4,1922.96
5.356,2.064,2.8,9.26,5,6,2,30,10,12,1922.98
5.439,1.972,1.936,5.78,1,4,4,4,4,16,1923.14
5.46,2.025,2.61,7.04,4,5,3,20,12,15,1923.22
5.461,2.023,2.611,3.83,4,5,4,20,16,20,1923.37
5.568,1.432,2.802,9.72,5,1,1,5,5,1,1924.31
5.399,2.065,2.797,5.89,5,6,3,30,15,18,1924.33
5.418,2.162,2.408,5.2,5,5,2,25,10,10,1924.39
5.541,2.109,2.932,6.57,5,7,3,35,15,21,1924.73
5.369,2.061,2.798,7.27,5,6,1,30,5,6,1924.96
5.435,1.756,2.229,8.87,4,1,1,4,4,1,1925.47
5.512,1.689,3.578,7.89,2,4,1,8,2,4,1925.52
5.49,2.165,2.406,4.16,5,5,1,25,5,5,1925.61
5.477,1.353,1.86,8.75,1,6,2,6,2,12,1925.67
5.335,1.862,2.559,9.65,5,6,3,30,15,18,1926.7
5.525,2.241,2.541,9.99,2,6,4,12,8,24,1927.06
5.481,1.535,2.175,7.02,2,2,4,4,8,8,1927.17
5.335,1.862,2.559,9.65,5,6,3,30,15,18,1927.26
5.491,2.322,2.382,4.91,2,4,1,8,2,4,1927.33
5.562,1.432,2.801,6.07,5,1,7,5,35,7,1927.39
5.545,1.878,2.786,9.78,5,6,1,30,5,6,1927.73
5.48,1.764,2.469,8.65,3,5,3,15,9,15,1927.83
5.518,2.555,2.519,3.23,5,7,1,35,5,7,1927.94
5.356,1.574,2.119,5.32,1,7,3,7,3,21,1928.4
5.405,2.025,1.898,7.89,2,5,3,10,6,15,1928.5
5.468,2.094,3.046,6.32,4,4,2,16,8,8,1929.12
5.243,1.875,1.97,7.73,2,7,2,14,4,14,1929.47
5.487,2.403,2.382,4.98,1,5,3,5,3,15,1929.9
5.511,2.322,2.38,8.54,2,4,4,8,8,16,1930.13
5.442,1.333,2.357,9.31,1,4,2,4,2,8,1930.34
5.468,2.094,3.046,6.32,4,4,2,16,8,8,1930.39
5.517,2.238,2.544,9.84,2,6,4,12,8,24,1930.52
5.409,2.167,2.405,6.45,5,5,3,25,15,15,1930.64
5.439,1.972,1.936,5.78,1,4,4,4,4,16,1930.88
5.518,2.555,2.519,3.23,5,7,1,35,5,7,1930.95
5.174,1.872,1.968,8.05,2,7,4,14,8,28,1930.95
5.472,2.238,2.545,7.75,2,6,3,12,6,18,1931
5.517,2.238,2.544,9.84,2,6,4,12,8,24,1931.3
5.501,1.352,1.854,9.71,1,6,4,6,4,24,1931.57
5.511,2.322,2.38,8.54,2,4,4,8,8,16,1931.87
5.501,1.352,1.854,9.71,1,6,4,6,4,24,1932.48
5.356,1.574,2.119,5.32,1,7,3,7,3,21,1932.5
5.34,1.852,2.205,5.57,1,6,4,6,4,24,1933.07
5.174,1.872,1.968,8.05,2,7,4,14,8,28,1933.3
5.483,1.612,2.323,7.16,1,5,1,5,1,5,1933.39
5.413,1.913,3.175,8.7,2,3,2,6,4,6,1933.43
5.388,2.103,2.874,5.21,1,5,3,5,3,15,1934.2
5.465,2.502,2.298,3.88,1,6,3,6,3,18,1934.38
5.452,2.093,3.044,3.45,4,4,4,16,16,16,1934.6
5.553,1.865,2.339,8.98,4,5,2,20,8,10,1935.75
5.343,2.185,1.925,9.25,4,4,1,16,4,4,1936
5.635,2.128,1.723,5.81,1,1,2,1,2,2,1936.56
5.504,2.11,2.939,7.51,5,7,2,35,10,14,1937.13
5.502,2.16,3.139,4.44,2,1,1,2,2,1,1937.22
5.506,2.108,2.931,3.65,5,7,1,35,5,7,1937.69
5.553,2.559,2.515,3.85,1,3,2,3,2,6,1937.71
5.492,2.61,2.809,4.9,2,4,1,8,2,4,1937.81
5.513,1.845,2.712,4.06,1,7,2,7,2,14,1938.28
5.348,1.631,2.601,9.03,4,4,2,16,8,8,1938.3
5.442,1.879,2.954,9.3,1,6,3,6,3,18,1938.55
5.221,2.453,2.127,6.24,4,6,3,24,12,18,1938.78
5.442,1.333,2.357,9.31,1,4,2,4,2,8,1939.31
5.525,2.019,3.566,4.86,4,3,1,12,4,3,1939.33
5.453,2.166,2.413,5.63,5,5,1,25,5,5,1939.43
5.457,1.844,2.711,9.42,1,7,1,7,1,7,1939.54
5.411,1.757,2.833,8.81,2,6,4,12,8,24,1939.63
5.506,2.108,2.931,3.65,5,7,1,35,5,7,1939.87
5.476,2.321,2.384,3.32,2,4,2,8,4,8,1939.87
5.437,2.779,2.466,3.41,2,7,3,14,6,21,1939.98
5.504,2.11,2.939,7.51,5,7,2,35,10,14,1940.03
5.334,2.072,2.05,4.25,4,7,3,28,12,21,1940.41
5.411,1.757,2.833,8.81,2,6,4,12,8,24,1940.5
5.525,2.556,2.521,8.62,5,7,3,35,15,21,1940.65
5.442,1.879,2.954,9.3,1,6,3,6,3,18,1940.7
5.483,1.612,2.323,7.16,1,5,1,5,1,5,1940.71
5.243,1.875,1.97,7.73,2,7,2,14,4,14,1940.81
5.487,2.609,2.813,9.49,2,4,2,8,4,8,1941.25
5.453,2.166,2.413,5.63,5,5,1,25,5,5,1941.38
5.218,1.799,2.502,7.65,5,6,3,30,15,18,1941.56
5.476,2.321,2.384,3.32,2,4,2,8,4,8,1941.66
5.492,2.61,2.809,4.9,2,4,1,8,2,4,1942.43
5.635,2.128,1.723,5.81,1,1,2,1,2,2,1943.62
5.525,2.556,2.521,8.62,5,7,3,35,15,21,1943.8
5.502,2.16,3.139,4.44,2,1,1,2,2,1,1943.87
5.553,2.559,2.515,3.85,1,3,2,3,2,6,1943.88
5.289,1.577,2.124,3.58,1,7,3,7,3,21,1943.93
5.373,2.183,1.926,6.96,4,4,4,16,16,16,1944.16
5.221,2.453,2.127,6.24,4,6,3,24,12,18,1944.35
5.334,2.072,2.05,4.25,4,7,3,28,12,21,1944.42
5.238,1.95,2.959,3.2,2,1,1,2,2,1,1944.45
5.382,2.05,2.34,4.84,4,6,4,24,16,24,1944.94
5.597,1.355,2.53,3.75,4,1,7,4,28,7,1945.15
5.507,2.094,3.048,6.63,4,4,3,16,12,12,1945.34
5.507,2.094,3.048,6.63,4,4,3,16,12,12,1945.66
5.457,2.165,2.402,7.52,5,5,4,25,20,20,1946.02
5.38,1.641,2.952,4.95,2,2,2,4,4,4,1946.17
5.432,1.754,2.838,7.11,2,6,1,12,2,6,1946.2
5.518,2.407,2.378,5.93,1,5,4,5,4,20,1946.21
5.396,2.161,3.137,5.61,2,1,1,2,2,1,1946.49
5.334,1.813,1.912,9.24,5,4,2,20,10,8,1947.63
5.481,1.539,2.174,6.27,2,2,1,4,2,2,1948.17
5.562,1.558,2.79,6.56,5,2,2,10,10,4,1948.22
5.448,1.688,3.578,8.14,2,4,2,8,4,8,1948.62
5.252,1.872,1.972,7.8,2,7,3,14,6,21,1948.69
5.538,2.017,3.568,4.59,4,3,2,12,8,6,1948.7
5.46,2.159,3.133,7.52,2,1,3,2,6,3,1948.93
5.535,1.559,2.79,7.26,5,2,1,10,5,2,1949.35
5.494,2.729,2.47,3.66,5,3,2,15,10,6,1949.56
5.282,1.798,2.499,7.81,5,6,2,30,10,12,1950.42
5.396,2.161,3.137,5.61,2,1,1,2,2,1,1950.43
5.403,1.851,2.204,6.84,1,6,3,6,3,18,1950.54
5.366,2.186,1.924,6.92,4,4,2,16,8,8,1950.74
5.499,1.689,3.579,5.9,2,4,5,8,10,20,1950.79
5.562,1.558,2.79,6.56,5,2,2,10,10,4,1951.14
5.312,2.075,2.053,9.87,4,7,2,28,8,14,1951.31
5.378,1.829,2.792,6.77,4,3,1,12,4,3,1951.42
5.538,2.466,2.017,3.41,1,6,3,6,3,18,1951.46
5.347,2.68,2.228,9.13,2,5,1,10,2,5,1951.48
5.198,1.984,2.653,5,5,5,3,25,15,15,1951.64
5.436,1.765,2.464,3.15,3,5,3,15,9,15,1952.36
5.312,2.075,2.053,9.87,4,7,2,28,8,14,1952.4
5.538,2.466,2.017,3.41,1,6,3,6,3,18,1952.45
5.498,1.538,2.173,5.11,2,2,2,4,4,4,1952.92
5.328,2.108,2.869,6.96,1,5,2,5,2,10,1953
5.198,1.984,2.653,5,5,5,3,25,15,15,1953.1
5.491,1.558,2.316,9.82,1,1,1,1,1,1,1953.25
5.493,2.11,2.934,8.71,5,7,3,35,15,21,1953.33
5.451,2.064,2.926,8.91,1,5,1,5,1,5,1953.39
5.281,2.323,2.511,3.84,2,1,1,2,2,1,1953.7
5.493,2.11,2.934,8.71,5,7,3,35,15,21,1953.96
5.562,2.997,2.562,4.54,4,4,3,16,12,12,1954.02
5.328,2.108,2.869,6.96,1,5,2,5,2,10,1954.04
5.457,2.556,2.521,8.02,5,7,2,35,10,14,1954.57
5.368,2.106,2.872,5.66,1,5,3,5,3,15,1955.03
5.436,1.765,2.464,3.15,3,5,3,15,9,15,1955.11
5.365,1.575,2.125,6.19,1,7,3,7,3,21,1955.35
5.324,2.319,2.516,6.9,2,1,4,2,8,4,1955.46
5.352,2.678,2.321,4.04,2,3,4,6,8,12,1955.55
5.414,2.332,2.386,4.49,1,3,3,3,3,9,1955.63
5.562,1.443,3.24,8.72,2,1,3,2,6,3,1955.83
5.368,2.27,2.36,7.07,4,1,1,4,4,1,1956.41
5.352,2.678,2.321,4.04,2,3,4,6,8,12,1956.47
5.43,1.76,3.192,8.66,4,1,4,4,16,4,1956.51
5.271,2.99,2.465,3.34,4,1,1,4,4,1,1956.54
5.407,1.632,2.606,5.41,4,4,4,16,16,16,1956.62
5.562,2.997,2.562,4.54,4,4,3,16,12,12,1956.65
5.324,2.319,2.516,6.9,2,1,4,2,8,4,1956.86
5.446,1.672,2.615,6.36,2,3,1,6,2,3,1957.09
5.368,2.27,2.36,7.07,4,1,1,4,4,1,1957.18
5.407,1.632,2.606,5.41,4,4,4,16,16,16,1957.31
5.457,2.556,2.521,8.02,5,7,2,35,10,14,1957.61
5.43,1.76,3.192,8.66,4,1,4,4,16,4,1957.62
5.561,2.408,2.384,5.26,1,5,1,5,1,5,1957.63
5.318,2.179,2.145,7.61,4,1,3,4,12,3,1957.66
5.561,2.408,2.384,5.26,1,5,1,5,1,5,1957.86
5.5,2.413,2.636,8.23,5,6,2,30,10,12,1957.99
5.5,2.413,2.636,8.23,5,6,2,30,10,12,1958.01
5.538,2.017,3.568,4.59,4,3,2,12,8,6,1958.26
5.365,1.575,2.125,6.19,1,7,3,7,3,21,1958.55
5.401,2.093,3.045,7.7,4,4,2,16,8,8,1959.62
5.323,2.271,2.363,4.12,4,1,1,4,4,1,1960
5.52,2.175,2.805,3.01,3,3,3,9,9,9,1960.39
5.6,2.993,2.549,8.06,4,4,3,16,12,12,1960.65
5.407,1.588,1.927,8.4,4,7,5,28,20,35,1960.65
5.464,2.611,2.813,4.57,2,4,2,8,4,8,1960.74
5.47,2.469,2.019,4,1,6,4,6,4,24,1960.92
5.323,1.828,2.788,8.7,4,3,1,12,4,3,1961.13
5.323,2.271,2.363,4.12,4,1,1,4,4,1,1961.66
5.247,1.974,2.024,6.33,1,3,1,3,1,3,1962.43
5.52,2.175,2.805,3.01,3,3,3,9,9,9,1962.68
5.279,2.548,2.533,5.69,4,3,2,12,8,6,1962.92
5.418,2.733,2.476,7.41,5,3,2,15,10,6,1963.52
5.158,2.231,2.618,5.04,2,1,3,2,6,3,1963.73
5.287,1.948,2.955,8.33,2,1,3,2,6,3,1964.01
5.6,2.993,2.549,8.06,4,4,3,16,12,12,1964.1
5.406,1.535,2.165,4.78,2,2,4,4,8,8,1964.16
5.323,1.828,2.788,8.7,4,3,1,12,4,3,1964.83
5.494,2.729,2.47,3.66,5,3,2,15,10,6,1965.12
5.284,2.079,2.056,7.22,4,7,1,28,4,7,1965.49
5.478,1.715,2.752,4.48,3,7,1,21,3,7,1965.98
5.284,2.079,2.056,7.22,4,7,1,28,4,7,1966.68
5.247,1.974,2.024,6.33,1,3,1,3,1,3,1967.34
5.341,2.602,2.107,7.88,2,7,2,14,4,14,1967.4
5.508,2.553,2.516,9.44,5,7,3,35,15,21,1967.42
5.596,2.997,2.545,5.43,4,4,3,16,12,12,1967.55
5.396,1.913,2.695,3.78,2,2,3,4,6,6,1967.82
5.404,2.932,1.804,3.04,4,5,2,20,8,10,1968.45
5.468,1.842,2.716,7.32,1,7,4,7,4,28,1968.47
5.466,2.381,2.555,8.92,1,1,4,1,4,4,1968.59
5.279,2.548,2.533,5.69,4,3,2,12,8,6,1968.81
5.418,2.733,2.476,7.41,5,3,2,15,10,6,1969.04
5.293,2.452,2.127,3.5,4,6,3,24,12,18,1969.64
5.396,1.913,2.695,3.78,2,2,3,4,6,6,1969.83
5.474,1.558,2.312,7.88,1,1,1,1,1,1,1970.48
5.508,2.553,2.516,9.44,5,7,3,35,15,21,1970.76
5.478,1.715,2.752,4.48,3,7,1,21,3,7,1971.04
5.269,2.637,2.529,4.57,4,6,4,24,16,24,1971.05
5.468,1.842,2.716,7.32,1,7,4,7,4,28,1971.33
5.469,1.558,2.79,6.07,5,2,4,10,20,8,1971.39
5.468,1.709,2.636,9.64,5,5,2,25,10,10,1971.5
5.497,1.688,3.568,3.95,2,4,5,8,10,20,1971.8
5.254,1.972,2.023,7.02,1,3,3,3,3,9,1971.83
5.471,2.32,2.385,7.99,2,4,2,8,4,8,1972.11
5.318,2.931,1.799,5.76,4,5,1,20,4,5,1972.58
5.623,2.178,2.81,5,3,3,2,9,6,6,1972.89
5.254,1.972,2.023,7.02,1,3,3,3,3,9,1973.03
5.536,2.465,2.024,4.35,1,6,2,6,2,12,1973.14
5.488,1.845,2.714,8.68,1,7,3,7,3,21,1973.16
5.618,2.02,2.744,6.91,2,2,3,4,6,6,1973.28
5.465,2.092,3.049,6.55,4,4,3,16,12,12,1973.54
5.408,2.781,2.464,8.14,2,7,3,14,6,21,1973.85
5.264,1.948,2.958,7.62,2,1,2,2,4,2,1974
5.54,2.201,3.169,4.33,3,3,4,9,12,12,1974.61
5.205,1.988,2.653,4.69,5,5,4,25,20,20,1974.66
5.332,2.545,2.531,5.39,4,3,4,12,16,12,1975.28
5.432,1.985,2.32,7.41,5,2,3,10,15,6,1975.66
5.721,1.902,3.334,4.91,4,1,5,4,20,5,1975.71
5.697,1.352,2.526,6.44,4,1,6,4,24,6,1975.76
5.284,2.605,2.109,3.49,2,7,2,14,4,14,1976.13
5.525,2.019,2.744,4.97,2,2,3,4,6,6,1976.51
5.484,1.63,2.09,4.45,2,1,5,2,10,5,1976.93
5.319,1.576,2.128,8.15,1,7,2,7,2,14,1977.09
5.474,2.609,2.812,7.61,2,4,4,8,8,16,1977.17
5.518,1.719,2.758,7.53,3,7,2,21,6,14,1977.23
5.189,2.454,2.136,8.39,4,6,4,24,16,24,1977.24
5.545,2.411,2.384,3.83,1,5,3,5,3,15,1977.28
5.525,2.019,2.744,4.97,2,2,3,4,6,6,1977.61
5.596,2.997,2.545,5.43,4,4,3,16,12,12,1977.68
5.457,1.882,2.952,8.78,1,6,3,6,3,18,1977.68
5.317,2.636,2.53,4.96,4,6,2,24,8,12,1978.03
5.614,2.993,2.555,6.74,4,4,3,16,12,12,1978.19
5.469,1.558,2.79,6.07,5,2,4,10,20,8,1978.37
5.408,2.781,2.464,8.14,2,7,3,14,6,21,1978.47
5.168,2.453,2.128,8.02,4,6,4,24,16,24,1978.9
5.44,2.778,2.471,5.3,2,7,2,14,4,14,1979.49
5.449,1.694,2.299,3.82,1,6,3,6,3,18,1979.72
5.325,2.436,2.526,4.01,4,2,2,8,8,4,1979.84
5.488,1.845,2.714,8.68,1,7,3,7,3,21,1980.03
5.317,2.679,2.322,3.99,2,3,4,6,8,12,1980.07
5.325,2.436,2.526,4.01,4,2,2,8,8,4,1980.1
5.317,2.679,2.322,3.99,2,3,4,6,8,12,1980.32
5.234,1.8,2.496,8.12,5,6,4,30,20,24,1980.54
5.392,1.824,2.774,4.66,5,2,3,10,15,6,1980.61
5.463,1.718,2.751,6.44,3,7,2,21,6,14,1980.66
5.468,1.709,2.636,9.64,5,5,2,25,10,10,1980.7
5.566,2.012,3.569,6.39,4,3,5,12,20,15,1981.1
5.289,2.636,2.524,3.18,4,6,3,24,12,18,1981.39
5.392,1.824,2.774,4.66,5,2,3,10,15,6,1981.86
5.182,2.204,2.488,8.06,4,4,4,16,16,16,1981.95
5.339,2.057,2.34,4.25,4,6,3,24,12,18,1982.12
5.256,2.911,2.168,4.16,4,7,2,28,8,14,1982.12
5.317,2.549,2.522,8.67,4,3,2,12,8,6,1982.16
5.219,1.985,2.656,7.9,5,5,3,25,15,15,1982.17
5.182,2.204,2.488,8.06,4,4,4,16,16,16,1982.26
5.317,2.636,2.53,4.96,4,6,2,24,8,12,1982.35
5.461,2.098,2.594,7.32,3,7,4,21,12,28,1982.44
5.171,2.518,2.097,6.6,2,7,4,14,8,28,1982.78
5.182,2.682,1.906,9.16,4,3,3,12,12,9,1983.13
5.118,2.231,2.615,6.95,2,1,1,2,2,1,1983.26
5.449,1.694,2.299,3.82,1,6,3,6,3,18,1983.51
5.368,1.832,2.77,4.05,5,2,2,10,10,4,1983.59
5.414,2.497,2.289,6.8,1,6,2,6,2,12,1983.64
5.345,2.103,2.872,9.86,1,5,4,5,4,20,1983.71
5.332,2.545,2.531,5.39,4,3,4,12,16,12,1983.78
5.614,2.993,2.555,6.74,4,4,3,16,12,12,1983.95
5.433,1.983,3.699,8.65,1,6,2,6,2,12,1984.26
5.414,1.852,2.205,7.38,1,6,4,6,4,24,1984.39
5.393,1.637,2.955,9.61,2,2,4,4,8,8,1984.54
5.256,1.862,2.524,9.73,4,3,1,12,4,3,1984.65
5.383,1.853,2.203,8.57,1,6,3,6,3,18,1985.11
5.293,1.858,2.519,8.82,4,3,2,12,8,6,1985.17
5.293,1.858,2.519,8.82,4,3,2,12,8,6,1985.3
5.265,2.545,2.523,6.36,4,3,1,12,4,3,1985.62
5.171,2.518,2.097,6.6,2,7,4,14,8,28,1985.69
5.265,2.545,2.523,6.36,4,3,1,12,4,3,1985.73
5.299,2.601,2.108,5.2,2,7,3,14,6,21,1985.78
5.317,2.549,2.522,8.67,4,3,2,12,8,6,1985.79
5.402,2.148,2.228,5.42,5,2,3,10,15,6,1986.11
